dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351XHU,"LCD touchscreen incl. Battery - Black, Huawei Y5 2018",Display,"Leverbaar, alleen uit voorraad",Original,2,33.84,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351XPC,"Rearcover - Black, Huawei Honor 10",Housing,"Leverbaar, alleen uit voorraad",Original,12,5.5,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351XPJ,"Rearcover - Blue, Huawei Honor 10",Housing,"Leverbaar, alleen uit voorraad",Original,21,6.5,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351YDA,"Rearcover - Green, Huawei Honor 10",Housing,"Leverbaar, alleen uit voorraad",Original,3,6.68,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352BTW,"LCD Touchscreen incl. Battery - Purple, Huawei Nova 3",Display,"Leverbaar, alleen uit voorraad",Original,25+,43.04,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352BUE,"LCD Touchscreen incl. Battery - Black, Huawei P Smart Plus",Display,"Leverbaar, alleen uit voorraad",Original,2,43.99,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352BUK,"LCD Touchscreen incl. Battery - White, Huawei P Smart Plus",Display,"Leverbaar, alleen uit voorraad",Original,1,65.42,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352BVD,"Daughterboard, Huawei P Smart Plus",Connector,"Leverbaar, alleen uit voorraad",Original,5,4.48,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352BYE,"Rear Cover - Purple, Huawei Nova 3",Housing,"Leverbaar, alleen uit voorraad",Original,3,12.14,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352CAH,"Rear Cover - Black, Huawei P Smart Plus",Housing,"Leverbaar, alleen uit voorraad",Original,2,11.37,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352CAK,Rear Cover - Purple Huawei P Smart Plus,Housing,"Leverbaar, alleen uit voorraad",Original,7,2.78,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKJ,"Daughterboard, Huawei Mate 20 Lite",Connector,"Leverbaar, alleen uit voorraad",Original,1,17.52,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKK,"LCD Touchscreen incl. Battery - Black, Huawei Mate 20 Lite",Display,"Leverbaar, alleen uit voorraad",Original,25+,45.39,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKM,"LCD Touchscreen incl. Battery - Blue, Huawei Mate 20 Lite",Display,"Leverbaar, alleen uit voorraad",Original,17,44.91,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKN,"LCD Touchscreen incl. Battery - Gold, Huawei Mate 20 Lite",Display,"Leverbaar, alleen uit voorraad",Original,15,42.94,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKP,"Rear Cover - Black, Huawei Mate 20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,25+,2.78,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352DKR,"Rear Cover - Blue, Huawei Mate 20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,25+,10.42,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352ETG,LCD+Touch Black;Huawei Mate 20,Display,"Leverbaar, alleen uit voorraad",Original,20,61.41,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352FJY,"Rear Cover - Black, Huawei Mate 20",Housing,"Leverbaar, alleen uit voorraad",Original,5,15.28,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352FQM,LCD+Touch Blue;Huawei Mate 20,Display,"Leverbaar, alleen uit voorraad",Original,25+,86.95,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352FRA,"LCD Touchscreen - Twilight, Huawei Mate 20",Display,"Leverbaar, alleen uit voorraad",Original,6,66.33,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352FRD,"Rear Cover - Blue, Huawei Mate 20",Housing,"Leverbaar, alleen uit voorraad",Original,5,20.58,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352GDE,"Rear Cover Dual Sim - Blue, Huawei Mate 20 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,1,19.67,1,0
