dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000555Y,"Rear Camera 64M (main camera), Xiaomi Mi 10T Lite",Camera,"Leverbaar, alleen uit voorraad",Original,1,48.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200005S5Y,"Camera Module (Main) Macro 5MP, Xiaomi Mi 11",Camera,"Leverbaar, alleen uit voorraad",Original,2,8.09,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200006I5E,"Rear Camera 64M (main camera), Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,20.36,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200006J5E,"Rear Camera 8M (wide angle+depth), Xiaomi Mi 11 Lite 5G",Camera,"Leverbaar, alleen uit voorraad",Original,4,9.96,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200006K5Y,"Rear Camera 5M (macro), Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Camera,"Leverbaar, alleen uit voorraad",Original,2,10.49,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007G5E,"Rear Camera 8M (ultra wide angle), Xiaomi Poco F3",Camera,"Leverbaar, alleen uit voorraad",Original,1,14.6,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007J5Y,"Rear Camera 5M (macro), Xiaomi Poco F3",Camera,"Leverbaar, alleen uit voorraad",Original,1,14.48,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007P5Y,"Rear Camera 2M, Xiaomi Redmi Note 10 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,3,4.14,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007Q5Y,"Rear Camera 5M, Xiaomi Redmi Note 10 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,14.52,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007V5E,"Rear Camera 2M (depth), Xiaomi Redmi Note 10/Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,1,10.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200007X5E,"Rear Camera 2M (macro), Xiaomi Redmi Note 10/Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,2,10.5,1,0
